line,id,source_file,type,course_code,decision,issues,question,answer
1,IR-WEB-OVERVIEW,intelligent_robotics_qa_pairs.jsonl,programme_overview,,keep,,What is the Bachelor of Science (Honours) in Intelligent Robotics?,"Bachelor of Science (Honours) in Intelligent Robotics is offered by Faculty of Artificial Intelligence and Engineering (FAIE). The programme page lists registration (R/0788/6/00177) 01/31 and accreditation (MQA/SWA14238). The Bachelor of Science (Honours) Intelligent Robotics is a 3-year programme that strikes an exquisite balance between the fundamentals of engineering and hands-on practical skills. This multidisciplinary programme combines electronics, robotics, artificial intelligence, automation, and computer programming. It adopts a modern learning approach with early exposure to real-world applications. Graduates will be agile knowledge workers in the IR4.0 age and beyond, highly sought after by the industry."
2,IR-WEB-PAGE-TITLE,intelligent_robotics_qa_pairs.jsonl,website_metadata,,cut_or_rewrite,low_user_value_question;metadata_not_student_advice,What is the MMU website page title for Intelligent Robotics?,"Adapt and Innovate, Enrol in a Robotics Course in Malaysia | MMU"
3,IR-WEB-META-DESCRIPTION,intelligent_robotics_qa_pairs.jsonl,website_metadata,,cut_or_rewrite,low_user_value_question;metadata_not_student_advice,What does the MMU Intelligent Robotics page meta description say?,Explore robotics in Malaysia with MMU's Bachelor of Science in Intelligent Robotics. Gain hands-on experience in multi-disciplinary programme. See the requirements here.
4,IR-WEB-MODIFIED-TIME,intelligent_robotics_qa_pairs.jsonl,website_metadata,,cut_or_rewrite,low_user_value_question;metadata_not_student_advice,When was the MMU Intelligent Robotics page last modified?,The MMU page metadata lists the last modified time as 2026-05-18T04:30:16+00:00.
5,IR-WEB-FACULTY,intelligent_robotics_qa_pairs.jsonl,website_metadata,,review,metadata_not_student_advice,Which faculty offers the Intelligent Robotics programme?,The Intelligent Robotics programme is offered by Faculty of Artificial Intelligence and Engineering (FAIE).
6,IR-WEB-ACCREDITATION,intelligent_robotics_qa_pairs.jsonl,programme_overview,,keep,,What are the registration and accreditation identifiers for Intelligent Robotics?,The programme page lists registration (R/0788/6/00177) 01/31 and accreditation (MQA/SWA14238).
7,IR-WEB-ACTIONS,intelligent_robotics_qa_pairs.jsonl,website_action_links,,review,metadata_not_student_advice,What action links are provided on the MMU Intelligent Robotics page?,The page provides these action links: ENQUIRE NOW: https://www.mmu.edu.my/programmes-by-faculty-all/programmes-by-faculty-faie/bachelor-of-science-hons-in-intelligent-robotics/mmu2018/enquire-now/; HOW TO APPLY: https://www.mmu.edu.my/programmes-by-faculty-all/programmes-by-faculty-faie/bachelor-of-science-hons-in-intelligent-robotics/mmu2018/how-to-apply/; DOWNLOAD BROCHURE: https://www.mmu.edu.my/wp-content/uploads/2026/05/2026-MMU_FOE-FAIE-FET-FCI-FIST-14-05-2026-small.pdf; DOWNLOAD PROGRAMME FEES: https://www.mmu.edu.my/wp-content/uploads/2023/07/UG_Fee-Structure_update_150725_MQA.pdf.
8,IR-WEB-TOP-LINKS,intelligent_robotics_qa_pairs.jsonl,website_action_links,,cut_or_rewrite,low_user_value_question;metadata_not_student_advice,What top quick links are shown on the MMU Intelligent Robotics page?,The page header shows these quick links: APPLY NOW: https://www.mmu.edu.my/apply-now/; INTAKE INFO: https://www.mmu.edu.my/intake_enquiry/; SCHOLARSHIP: https://www.mmu.edu.my/financial-assistance/.
9,IR-WEB-SUPPORT-LINKS,intelligent_robotics_qa_pairs.jsonl,website_action_links,,cut_or_rewrite,low_user_value_question;metadata_not_student_advice,What support links are shown on the MMU Intelligent Robotics page?,The page shows these support links: VIRTUAL TOUR: https://streetview.my/multimediauniversity/; WHATSAPP: https://wa.me/60383125959?text=Hello%20Multimedia%20University!.
10,IR-WEB-APEL-A-LINK,intelligent_robotics_qa_pairs.jsonl,website_action_links,,review,metadata_not_student_advice,What APEL.A link does the MMU Intelligent Robotics page provide?,The page points APEL.A applicants to https://www.mmu.edu.my/apel-a/.
